ERRO,COMANDO,IDPRODUTO,CODPROD,DISPONIVEL,PRECO,PRECOPROM,DATAPROMINICIO,DATAPROMFIM
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
"IDProduto não encontrado","A",0,"",False,0,0,"",""
