Comando,IDProduto,CodProd,Disponivel,Preco,PrecoProm,DataPromInicio,DataPromFim
A,4205757,COMBO1223-1,TRUE,"69,9","34,9",24/03/2016 12:00,01/01/2049 00:00
A,4205758,COMBO1223-26,TRUE,"79,5","51,7",24/03/2016 12:00,01/01/2049 00:00
A,5473903,COMBO1223-26,FALSE,"59,9","51,7",24/03/2016 12:00,01/01/2049 00:00
A,4024606,1243-1,FALSE,"16,3","12,04",08/03/2015 00:00,01/01/2049 00:00
A,4024607,1243-8,FALSE,"16,3","12,04",08/03/2015 00:00,01/01/2049 00:00
A,2251618,1243,FALSE,"16,3","12,04",08/03/2015 00:00,01/01/2049 00:00
A,2251619,1244,FALSE,"19,9","15,36",08/03/2015 00:00,01/01/2049 00:00
A,4024608,1244-1,FALSE,"19,9","15,36",08/03/2015 00:00,01/01/2049 00:00
A,4024609,1244-8,FALSE,"19,9","15,36",08/03/2015 00:00,01/01/2049 00:00
A,4024610,1246-1,FALSE,"22,3","16,46",08/03/2015 00:00,01/01/2049 00:00
A,4024611,1246-8,FALSE,"22,3","16,46",08/03/2015 00:00,01/01/2049 00:00
A,2251621,1246,FALSE,"22,3","16,46",08/03/2015 00:00,01/01/2049 00:00
A,3817766,COMBO1 ST,TRUE,290,236,24/03/2016 12:00,01/01/2049 00:00
A,4024274,COMBO1 ST - 1,TRUE,290,236,24/03/2016 12:00,01/01/2049 00:00
A,4024275,COMBO1 ST - 8,FALSE,290,236,24/03/2015 12:00,01/01/2049 00:00
A,4070098,COMBO1 ST - 2,TRUE,290,236,24/03/2016 12:00,01/01/2049 00:00
A,4298761,10110-2,TRUE,34,24,07/04/2016 00:00,01/01/2049 00:00
A,4070099,COMBO10 ST - 2,TRUE,394,319,24/03/2016 12:00,01/01/2049 00:00
A,5476259,COMBO10 ST - 26,TRUE,"440,9","366,9",24/03/2016 12:00,01/01/2049 00:00
A,4024276,COMBO10 ST - 1,TRUE,370,290,24/03/2016 12:00,01/01/2049 00:00
A,4024277,COMBO10 ST - 8,FALSE,394,319,24/03/2016 12:00,01/01/2049 00:00
A,3817775,COMBO10 ST,TRUE,370,290,24/03/2016 12:00,01/01/2049 00:00
A,3817776,COMBO11 ST,TRUE,790,664,24/03/2016 12:00,01/01/2049 00:00
A,4024278,COMBO11 ST - 1,TRUE,822,664,24/03/2016 12:00,01/01/2049 00:00
A,4024279,COMBO11 ST - 8,FALSE,822,664,24/03/2016 12:00,01/01/2049 00:00
A,5476263,COMBO11 ST - 26,TRUE,"921,9","763,9",24/03/2016 12:00,01/01/2049 00:00
A,4070100,COMBO11 ST - 2,TRUE,822,664,24/03/2016 12:00,01/01/2049 00:00
A,4070101,COMBO12 ST - 2,TRUE,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
A,5476271,COMBO12 ST - 26,TRUE,"1.200,00","994,8",24/03/2016 12:00,01/01/2049 00:00
A,4024280,COMBO12 ST - 1,TRUE,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
A,4024281,COMBO12 ST - 8,FALSE,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
A,3817777,COMBO12 ST,TRUE,"1.071,00",865,24/03/2016 12:00,01/01/2049 00:00
A,3817778,COMBO13 ST,TRUE,"1.010,90",850,24/03/2016 12:00,01/01/2049 00:00
A,4024282,COMBO13 ST - 1,TRUE,"1.010,90",850,24/03/2016 12:00,01/01/2049 00:00
A,4024283,COMBO13 ST - 8,FALSE,"1.041,25",841,24/03/2016 12:00,01/01/2049 00:00
A,5476277,COMBO13 ST - 26,TRUE,"1.159,90",978,24/03/2016 12:00,01/01/2049 00:00
A,4070102,COMBO13 ST - 2,TRUE,"1.010,90",850,24/03/2016 12:00,01/01/2049 00:00
A,4070103,COMBO14 ST - 2,TRUE,"1.074,00",819,24/03/2016 12:00,01/01/2049 00:00
A,5476291,COMBO14 ST - 26,TRUE,"1.193,90",942,24/03/2016 12:00,01/01/2049 00:00
A,4024284,COMBO14 ST - 1,TRUE,"1.074,00",819,24/03/2016 12:00,01/01/2049 00:00
A,4024285,COMBO14 ST - 8,FALSE,"1.074,00",799,24/03/2016 12:00,01/01/2049 00:00
A,3817779,COMBO14 ST,TRUE,"1.074,00",819,24/03/2016 12:00,01/01/2049 00:00
A,5476294,COMBO15 ST-26,TRUE,574,"471,5",24/03/2016 12:00,01/01/2049 00:00
A,4835765,COMBO15 ST,TRUE,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
A,4835766,COMBO15 ST-1,TRUE,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
A,4835768,COMBO15 ST-8,FALSE,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
A,4835770,COMBO15 ST-2,TRUE,"512,5",410,24/03/2016 12:00,01/01/2049 00:00
A,4910323,COMBO16 ST,TRUE,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
A,4910326,COMBO16 ST -1,TRUE,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
A,4910331,COMBO16 ST -2,TRUE,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
A,4910335,COMBO16 ST -8,FALSE,"1.025,00",820,24/03/2016 12:00,01/01/2049 00:00
A,5476295,COMBO16 ST -26,TRUE,"1.148,00",943,24/03/2016 12:00,01/01/2049 00:00
A,5476297,COMBO17 ST-26,TRUE,"625,85","514,1",24/03/2016 12:00,01/01/2049 00:00
A,4910345,COMBO17 ST,TRUE,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
A,4910349,COMBO17 ST-1,TRUE,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
A,4910350,COMBO17 ST-2,TRUE,"558,75",447,24/03/2016 12:00,01/01/2049 00:00
