ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,DESCRHTM,METAKEYWORDSPROD,MAXPARCELASPROD,XMLPARCELASPROD,CODBARRASPROD,EMBALAVEL,ISPRODUTOGRANDE,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,CODVIDEO,PRODMPN,TITLEPROD,URLPROD,VENDACONJUNTA,METADESCRIPTIONPROD,IDSFILTROITEM
"IDProduto não encontrado","A","Cubos",0,"604298-1/10","Conjunto 03 Cubos ( P,M e G )",2,05,"Conjunto 03 Cubos ( P,M e G )","","",False,1000,5,False,0,0,149,9,119,0,0,"03/01/2017","1/1/2049",True,False,"604298_1_10a.jpg","604298_1_10a.jpg","604298_1_10a.jpg","","","","","","",38370,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inválido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto não encontrado","A","Ganchos e Cabides",0,"P1201-25","Kit 2 ganchos decorativos grande - Promocional",0,71,"Kit 2 ganchos decorativos grande - Promocional","","",False,1000,5,False,0,0,79,9,68,9,0,0,"03/01/2017","1/1/2049",True,False,"p601201_25a.jpg","p601201_25a.jpg,p601201_25b.jpg,p601201_25c.jpg","p601201_25a.jpg,p601201_25b.jpg,p601201_25c.jpg","","","","","","",66765,0,"",0,"","",0,0,"","","",0,0,"",True,False,40,19,6,"","A","","","","",""
"Comando inválido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto não encontrado","A","Kits Lavanderia",0,"601469-1","KIT 1 Organizadores de Lavanderia Branco",0,"KIT 1 Organizadores de Lavanderia Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"601469_1a.jog","601469_1a.jog","601469_1a.jog","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto não encontrado","A","Kits Lavanderia",0,"601470-1","KIT 2 Organizadores de Lavanderia Branco",0,"KIT 2 Organizadores de Lavanderia Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"601470_1a.jog","601470_1a.jog","601470_1a.jog","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inválido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto não encontrado","A","Kits Cozinha",0,"6013273-1","KIT 1 Fruteira com organizadores Branco",3,062,"KIT 1 Fruteira com organizadores Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"601473_1a.jog","601473_1a.jog","601473_1a.jog","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inválido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto não encontrado","A","Kits Quarto",0,"6010191-1","KIT 1 para Quarto ou Closet Branco",4,126,"KIT 1 para Quarto ou Closet Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"6010191_1a.jog","6010191_1a.jog","6010191_1a.jog","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto não encontrado","A","Kits Quarto",0,"6010192-1","KIT 2 para Quarto ou Closet Branco",0,"KIT 2 para Quarto ou Closet Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"6010192_1a.jpg","6010192_1a.jpg","6010192_1a.jpg","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inválido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto não encontrado","A","Kit de Prateleiras",0,6012281,"KIT 1 Prateleiras Linha EspaÃ§o Eco Metalic",0,"KIT 1 Prateleiras Linha EspaÃ§o Eco Metalic","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto não encontrado","A","Kit de Prateleiras",0,6012282,"KIT 2 Prateleiras Linha EspaÃ§o Eco Metalic",0,"KIT 2 Prateleiras Linha EspaÃ§o Eco Metalic","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto não encontrado","A","Kit de Prateleiras",0,6012283,"KIT 3 Prateleiras Linha EspaÃ§o Eco Metalic",0,"KIT 3 Prateleiras Linha EspaÃ§o Eco Metalic","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto não encontrado","A","Kit de Prateleiras",0,6012284,"KIT 4 Prateleiras Linha EspaÃ§o Eco Metalic",0,"KIT 4 Prateleiras Linha EspaÃ§o Eco Metalic","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto não encontrado","A","Kit de Prateleiras",0,6012285,"KIT 5 Prateleiras Linha EspaÃ§o Eco Metalic",0,"KIT 5 Prateleiras Linha EspaÃ§o Eco Metalic","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,False,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inválido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-1/1","Cook Premium Kit 1 Branco/Branco",0,37,"Cook Premium Kit 1 Branco/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_1_1a.jpg,6013265_1_1b.jpg,6013265_1_1c.jpg,6013265_1_1d.jpg","6013265_1_1a.jpg,6013265_1_1b.jpg,6013265_1_1c.jpg,6013265_1_1d.jpg","","","","","","","",38374,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-1/27","Cook Premium Kit 1 Branco/Lavanda",0,37,"Cook Premium Kit 1 Branco/Lavanda","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_1_27a.jpg,6013265_1_27b.jpg","6013265_1_27a.jpg,6013265_1_27b.jpg","","","","","","","",66755,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-1/28","Cook Premium Kit 1 Branco/IpÃª",0,37,"Cook Premium Kit 1 Branco/IpÃª","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_1_28a.jpg,6013265_1_28b.jpg","6013265_1_28a.jpg,6013265_1_28b.jpg","","","","","","","",66753,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-1/29","Cook Premium Kit 1 Branco/Alecrim",0,37,"Cook Premium Kit 1 Branco/Alecrim","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_1_29a.jpg,6013265_1_29b.jpg","6013265_1_29a.jpg,6013265_1_29b.jpg","","","","","","","",66754,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-1/30","Cook Premium Kit 1 Branco/Pitanga",0,37,"Cook Premium Kit 1 Branco/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_1_30a.jpg,6013265_1_30b.jpg","6013265_1_30a.jpg,6013265_1_30b.jpg","","","","","","","",66756,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-2/2","Cook Premium Kit 1 Preto/Preto",0,37,"Cook Premium Kit 1 Preto/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_2_2a.jpg,6013265_2_2b.jpg","6013265_2_2a.jpg,6013265_2_2b.jpg","","","","","","","",38710,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-25/1","Cook Premium Kit 1 Cobre/Branco",0,37,"Cook Premium Kit 1 Cobre/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_25_1a.jpg,6013265_25_1b.jpg","6013265_25_1a.jpg,6013265_25_1b.jpg","","","","","","","",66757,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-25/2","Cook Premium Kit 1 Cobre/Preto",0,37,"Cook Premium Kit 1 Cobre/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_25_2a.jpg,6013265_25_2b.jpg","6013265_25_2a.jpg,6013265_25_2b.jpg","","","","","","","",66758,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013265-26/30","Cook Premium Kit 1 Eco Metalic/Pitanga",0,37,"Cook Premium Kit 1 Eco Metalic/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013265_26_30a.jpg,6013265_26_30b.jpg","6013265_26_30a.jpg,6013265_26_30b.jpg","","","","","","","",66762,0,"",0,"","",0,0,"","","",0,0,"",True,False,38,6,5,3,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-1/1","Cook Premium Kit 2 Branco/Branco",0,57,"Cook Premium Kit 2 Branco/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_1_1a.jpg,6013266_1_1b.jpg","6013266_1_1a.jpg,6013266_1_1b.jpg","","","","","","","",38374,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-1/27","Cook Premium Kit 2 Branco/Lavanda",0,57,"Cook Premium Kit 2 Branco/Lavanda","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_1_27a.jpg,6013266_1_27b.jpg","6013266_1_27a.jpg,6013266_1_27b.jpg","","","","","","","",66755,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-1/28","Cook Premium Kit 2 Branco/IpÃª",0,57,"Cook Premium Kit 2 Branco/IpÃª","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_1_28a.jpg,6013266_1_28b.jpg","6013266_1_28a.jpg,6013266_1_28b.jpg","","","","","","","",66753,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-1/29","Cook Premium Kit 2 Branco/Alecrim",0,57,"Cook Premium Kit 2 Branco/Alecrim","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_1_29a.jpg,6013266_1_29b.jpg","6013266_1_29a.jpg,6013266_1_29b.jpg","","","","","","","",66754,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-1/30","Cook Premium Kit 2 Branco/Pitanga",0,57,"Cook Premium Kit 2 Branco/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_1_30a.jpg,6013266_1_30b.jpg","6013266_1_30a.jpg,6013266_1_30b.jpg","","","","","","","",66756,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
