Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Kit de Prateleiras",5685723,"6012263-2/18","",1.45,"Kit Prateleira com Ganchos Ômega Preto-Teka Artico","","",False,998,5,True,0,0,80.5,70,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67573",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685724,"6012263-2/21","",1.45,"Kit Prateleira com Ganchos Ômega Preto-Palissandro Bahia","","",False,999,5,True,0,0,80.5,70,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67617",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685725,"6012263-2/31","",1.45,"Kit Prateleira com Ganchos Ômega Preto-Lanarca","","",False,994,5,True,0,0,80.5,70,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67570",1,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685726,"6012263-2/32","",1.45,"Kit Prateleira com Ganchos Ômega Preto-Metalic-Suede","","",False,1000,5,True,0,0,80.5,70,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67572",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685727,"6012263-2/33","",1.45,"Kit Prateleira com Ganchos Ômega Preto-Trama Stucco","","",False,999,5,True,0,0,80.5,70,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67571",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685728,"6012263-25/18","",1.45,"Kit Prateleira com Ganchos Ômega Cobre-Teka Artico","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67577",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685729,"6012263-25/21","",1.45,"Kit Prateleira com Ganchos Ômega Cobre-Palissandro Bahia","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67574",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685730,"6012263-25/31","",1.45,"Kit Prateleira com Ganchos Ômega Cobre-Lanarca","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67578",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685731,"6012263-25/32","",1.45,"Kit Prateleira com Ganchos Ômega Cobre-Metalic-Suede","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67575",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685732,"6012263-25/33","",1.45,"Kit Prateleira com Ganchos Ômega Cobre-Trama Stucco","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67576",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685733,"6012263-26/18","",1.45,"Kit Prateleira com Ganchos Ômega Metalic-Teka Artico","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","64448",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685734,"6012263-26/21","",1.45,"Kit Prateleira com Ganchos Ômega Metalic-Palissandra Bahia","","",False,1000,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","64441",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
"A","Kit de Prateleiras",5685735,"6012263-26/31","",1.45,"Kit Prateleira com Ganchos Ômega Metalic-Lanarca","","",False,999,5,True,0,0,92.58,80.5,0,0,03/01/2017,01/01/2049,True,False,"6012263_2_31a.jpg","6012263_2_31a.jpg","6012263_2_31a.jpg","","","","","","","67581",0,5600079,0,"",,0,0,,"","",0,0,"",True,False,60,21,20,"","A","Kit Prateleira com Ganchos Ômega","kit-prateleira-com-ganchos-omega","","",""
