IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
5476182,COMBO1 ST - 26,328,272,24/03/2016 12:00,01/01/2049 00:00
4298760,10110-1,34,25,07/04/2016 00:00,01/01/2049 00:00
4298762,10110-8,34,24,07/04/2016 00:00,01/01/2049 00:00
4298756,10110,34,25,07/04/2016 00:00,01/01/2049 00:00
5474326,10110-26,"37,9",25,07/04/2016 00:00,01/01/2049 00:00
5533789,6010172,"27,6",24,15/12/2016 00:00,01/01/2049 00:00
5533791,6010172-1,"27,6",24,15/12/2016 00:00,01/01/2049 00:00
5533795,6010172-26,"27,6",24,15/12/2016 00:00,01/01/2049 00:00
5536716,6010172-2,"27,6",24,20/12/2016 00:00,01/01/2049 00:00
5533054,6010171,"29,9",23,14/12/2016 00:00,01/01/2049 00:00
5533056,6010171-1,"29,9",23,14/12/2016 00:00,01/01/2049 00:00
5533060,6010171-26,"29,9",23,14/12/2016 00:00,01/01/2049 00:00
5536715,6010171-2,"29,9",23,20/12/2016 00:00,01/01/2049 00:00
4298757,10109-1,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
4298758,10109-2,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
4298759,10109-8,"28,6",22,07/04/2016 00:00,01/01/2049 00:00
4298755,10109,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
5474324,10109-26,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
5474779,1084-26,"125,35",109,03/01/2017 00:00,01/01/2049 00:00
4768888,1084,"142,2","94,8",07/04/2016 00:00,01/01/2049 00:00
4768890,1084-1,"142,2","94,8",07/04/2016 00:00,01/01/2049 00:00
4768892,1084-8,"142,2","94,8",07/04/2016 00:00,01/01/2049 00:00
4768872,p1013,"127,9","97,1",08/03/2015 00:00,01/01/2049 00:00
4768873,1013-1,"127,9","97,1",08/03/2015 00:00,01/01/2049 00:00
4768874,p1013-8,"97,1","29,13",03/01/2017 00:00,01/01/2049 00:00
5474763,1013-26,"128,455","111,7",03/01/2017 00:00,01/01/2049 00:00
5474322,1081-26,"26,45",23,03/01/2017 00:00,01/01/2049 00:00
4768915,p1081,23,20,30/05/2017 00:00,01/01/2049 00:00
4768918,1081-1,"35,9","20,00",08/03/2015 00:00,01/01/2049 00:00
4768924,p1081-8,20,6,03/01/2017 00:00,01/01/2049 00:00
5600118,6010187,"19,9","16,1",03/01/2017 00:00,01/01/2049 00:00
5686059,6010187-1,"16,1",14,03/01/2017 00:00,01/01/2049 00:00
5686060,6010187-26,"19,9","16,1",03/01/2017 00:00,01/01/2049 00:00
5639297,p1008,14,"4,2",03/01/2017 00:00,01/01/2049 00:00
5639348,p1008-8,14,"4,2",03/01/2017 00:00,01/01/2049 00:00
4768882,1015,"43,9","37,31",08/03/2015 00:00,01/01/2049 00:00
4768883,1015-1,"43,9","37,31",08/03/2015 00:00,01/01/2049 00:00
4768886,1015-8,"43,9","37,31",08/03/2015 00:00,01/01/2049 00:00
5474776,1015-26,"58,075","50,5",03/01/2017 00:00,01/01/2049 00:00
